Nom base français;Nom attribut français;Nom frontière français;Tags français;Unité français;Sous-localisation géographique français;Incertitude;Total poste non décomposé;Code de la catégorie;Sous catégorie 1;Sous catégorie 2;Sous catégorie 3;Sous catégorie 4
Réseau de chaleur;31, TOULOUSE, Ensemble Universitaire Toulouse Rangueil;2021;Réseau de chaleur,TOULOUSE,Ensemble Universitaire Toulouse Rangueil;kgCO2e/kWh;Midi-Pyrénées, TOULOUSE;30;0,089;Réseaux de chaleur / froid ; Midi-Pyrénées;;;
Réseau de chaleur;31, Toulouse, Réseau de Toulouse Mirail;2021;Réseau de chaleur,TOULOUSE,Réseau de Toulouse Mirail;kgCO2e/kWh;Midi-Pyrénées, Toulouse;30;5,00E-03;Réseaux de chaleur / froid ; Midi-Pyrénées;;;
Réseau de chaleur;31, TOULOUSE, Toulouse energie durable TED chaud;2021;Réseau de chaleur,TOULOUSE,Toulouse energie durable TED chaud;kgCO2e/kWh;Midi-Pyrénées, TOULOUSE;30;0,069;Réseaux de chaleur / froid ; Midi-Pyrénées;;;
Réseau de chaleur;33, Begles, Réseau de Terres Neuves;2021;Réseau de chaleur,Begles,Réseau de Terres Neuves;kgCO2e/kWh;Aquitaine, Begles;30;0,125;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;33, BORDEAUX, Bassins à Flot;2021;Réseau de chaleur,BORDEAUX,Bassins à Flot;kgCO2e/kWh;Aquitaine, BORDEAUX;30;0,101;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;33, BORDEAUX, Bordeaux Begles Energies;2021;Réseau de chaleur,BORDEAUX,Bordeaux Begles Energies;kgCO2e/kWh;Aquitaine, BORDEAUX;30;0,014;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;33, BORDEAUX, Grand Parc;2021;Réseau de chaleur,BORDEAUX,Grand Parc;kgCO2e/kWh;Aquitaine, BORDEAUX;30;0,246;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;33, Bordeaux, Mériadeck;2021;Réseau de chaleur,BORDEAUX,Mériadeck;kgCO2e/kWh;Aquitaine, Bordeaux;30;0,012;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;33, BORDEAUX, Réseau de l'éco-quartier Ginko;2021;Réseau de chaleur,BORDEAUX,Réseau de l'éco-quartier Ginko;kgCO2e/kWh;Aquitaine, BORDEAUX;30;0,099;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;33, Cenon, Rive Droite Energies;2021;Réseau de chaleur,Rive Droite Energies,Cenon;kgCO2e/kWh;Aquitaine, Cenon;30;0,071;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;33, Gironde-sur-Dropt, Réseau de chaleur de Gironde sur Dropt;2021;Réseau de chaleur,Réseau de chaleur de Gironde sur Dropt,Gironde-sur-Dropt;kgCO2e/kWh;Aquitaine, Gironde-sur-Dropt;30;0,082;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;33, LA REOLE, Réseau de La Réole;2021;Réseau de chaleur,LA REOLE,Réseau de La Réole;kgCO2e/kWh;Aquitaine, LA REOLE;30;0,042;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;33, La teste de buch, Réseau Portes du PYLA;2021;Réseau de chaleur,Réseau Portes du PYLA,La teste de buch;kgCO2e/kWh;Aquitaine, La teste de buch;30;0,185;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;33, LE BARP, Laseris;2021;Réseau de chaleur,LE BARP,Laseris;kgCO2e/kWh;Aquitaine, LE BARP;30;0,12;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;33, LESPARRE-MEDOC, Réseau de la Clinique Lesparre;2021;Réseau de chaleur,LESPARRE-MEDOC,Réseau de la Clinique Lesparre;kgCO2e/kWh;Aquitaine, LESPARRE-MEDOC;30;0,129;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;33, Merignac, Parc de Mérignac Ville Stemer;2021;Réseau de chaleur,Merignac,Parc de Mérignac Ville Stemer;kgCO2e/kWh;Aquitaine, Merignac;30;0,231;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;33, Pellegrue, Réseau de chaleur de Pellegrue;2021;Réseau de chaleur,Réseau de chaleur de Pellegrue,Pellegrue;kgCO2e/kWh;Aquitaine, Pellegrue;30;0,098;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;33, PESSAC, Saige-Formanoir;2021;Réseau de chaleur,Saige-Formanoir,PESSAC;kgCO2e/kWh;Aquitaine, PESSAC;30;0,046;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;33, Saint-Pierre-d'Aurillac, Réseau de chaleur de Saint Pierre d'Aurillac;2021;Réseau de chaleur,Réseau de chaleur de Saint Pierre d'Aurillac,Saint-Pierre-d'Aurillac;kgCO2e/kWh;Aquitaine, Saint-Pierre-d'Aurillac;30;0,06;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;34, Castelnau-le-Lez, BET EUREKA chaud;2021;Réseau de chaleur,Castelnau-le-Lez,BET EUREKA chaud;kgCO2e/kWh;Languedoc-Roussillon, Castelnau-le-Lez;30;0,031;Réseaux de chaleur / froid ; Languedoc-Roussillon;;;
Réseau de chaleur;34, CASTELNAU-LE-LEZ, Eco-Quartier Le Mas de Rochet;2021;Réseau de chaleur,Eco-Quartier Le Mas de Rochet,Castelnau-le-Lez;kgCO2e/kWh;Languedoc-Roussillon, CASTELNAU-LE-LEZ;30;0,13;Réseaux de chaleur / froid ; Languedoc-Roussillon;;;
Réseau de chaleur;34, FRAISSE-SUR-AGOUT, Réseau de Fraïsse - Agout;2021;Réseau de chaleur,Réseau de Fraïsse - Agout,FRAISSE-SUR-AGOUT;kgCO2e/kWh;Languedoc-Roussillon, FRAISSE-SUR-AGOUT;30;0,022;Réseaux de chaleur / froid ; Languedoc-Roussillon;;;
Réseau de chaleur;34, JUVIGNAC, ZAC des Constellations;2021;Réseau de chaleur,JUVIGNAC,ZAC des Constellations;kgCO2e/kWh;Languedoc-Roussillon, JUVIGNAC;30;0,09;Réseaux de chaleur / froid ; Languedoc-Roussillon;;;
Réseau de chaleur;34, Lattes, BET BOIRARGUES chaud;2021;Réseau de chaleur,BET BOIRARGUES chaud,Lattes;kgCO2e/kWh;Languedoc-Roussillon, Lattes;30;0,024;Réseaux de chaleur / froid ; Languedoc-Roussillon;;;
Réseau de chaleur;34, MONTPELLIER, MUSE;2021;Réseau de chaleur,MONTPELLIER,MUSE;kgCO2e/kWh;Languedoc-Roussillon, MONTPELLIER;30;4,00E-03;Réseaux de chaleur / froid ; Languedoc-Roussillon;;;
Réseau de chaleur;34, Montpellier, Réseau des universités;2021;Réseau de chaleur,MONTPELLIER,Réseau des universités;kgCO2e/kWh;Languedoc-Roussillon, Montpellier;30;0,075;Réseaux de chaleur / froid ; Languedoc-Roussillon;;;
Réseau de chaleur;34, Montpellier, RMCF;2021;Réseau de chaleur,MONTPELLIER,RMCF;kgCO2e/kWh;Languedoc-Roussillon, Montpellier;30;0,104;Réseaux de chaleur / froid ; Languedoc-Roussillon;;;
Réseau de chaleur;34, PEROLS, BET ODE chaud;2021;Réseau de chaleur,BET ODE chaud,PEROLS;kgCO2e/kWh;Languedoc-Roussillon, PEROLS;30;0,037;Réseaux de chaleur / froid ; Languedoc-Roussillon;;;
Réseau de chaleur;35, CHARTRES-DE-BRETAGNE, Reseau Chartres de Bretagne ZAC portes de Seiche;2021;Réseau de chaleur,Reseau Chartres de Bretagne ZAC portes de Seiche,CHARTRES-DE-BRETAGNE;kgCO2e/kWh;Bretagne, CHARTRES-DE-BRETAGNE;30;0,182;Réseaux de chaleur / froid ; Bretagne;;;
Réseau de chaleur;35, COMBOURG, Réseau de chaleur Bretagne romantique  à Combourg;2021;Réseau de chaleur,COMBOURG,Réseau de chaleur Bretagne romantique  à Combourg;kgCO2e/kWh;Bretagne, COMBOURG;30;0,056;Réseaux de chaleur / froid ; Bretagne;;;
Réseau de chaleur;35, JANZE, SILVA  -- Réseau de JANZE;2021;Réseau de chaleur,JANZE,SILVA  -- Réseau de JANZE;kgCO2e/kWh;Bretagne, JANZE;30;0,066;Réseaux de chaleur / froid ; Bretagne;;;
Réseau de chaleur;35, Rennes, Campus Scientifique de Beaulieu;2021;Réseau de chaleur,RENNES,Campus Scientifique de Beaulieu;kgCO2e/kWh;Bretagne, Rennes;30;0,234;Réseaux de chaleur / froid ; Bretagne;;;
Réseau de chaleur;35, Rennes, Rennes Sud;2021;Réseau de chaleur,RENNES,Rennes Sud;kgCO2e/kWh;Bretagne, Rennes;30;0,116;Réseaux de chaleur / froid ; Bretagne;;;
Réseau de chaleur;35, Rennes, Réseau de la centrale Thermique de Villejean;2021;Réseau de chaleur,RENNES,Réseau de la centrale Thermique de Villejean;kgCO2e/kWh;Bretagne, Rennes;30;0,041;Réseaux de chaleur / froid ; Bretagne;;;
Réseau de chaleur;35, RENNES, Réseau de Rennes Est ZAC Baud -Chardonnet;2021;Réseau de chaleur,RENNES,Réseau de Rennes Est ZAC Baud -Chardonnet;kgCO2e/kWh;Bretagne, RENNES;30;0,164;Réseaux de chaleur / froid ; Bretagne;;;
Réseau de chaleur;35, Rennes, Sarah Bernhardt;2021;Réseau de chaleur,RENNES,Sarah Bernhardt;kgCO2e/kWh;Bretagne, Rennes;30;0,267;Réseaux de chaleur / froid ; Bretagne;;;
Réseau de chaleur;35, VEZIN-LE-COQUET, Réseau de Vezin le Coquet;2021;Réseau de chaleur,Réseau de Vezin le Coquet,VEZIN-LE-COQUET;kgCO2e/kWh;Bretagne, VEZIN-LE-COQUET;30;0,138;Réseaux de chaleur / froid ; Bretagne;;;
Réseau de chaleur;35, VITRE, Réseau EAU CHAUDE;2021;Réseau de chaleur,VITRE,Réseau EAU CHAUDE;kgCO2e/kWh;Bretagne, VITRE;30;0,054;Réseaux de chaleur / froid ; Bretagne;;;
Réseau de chaleur;36, ARGENTON-SUR-CREUSE, Réseau de chaleur Argenton sur Creuse;2021;Réseau de chaleur,Réseau de chaleur Argenton sur Creuse,ARGENTON-SUR-CREUSE;kgCO2e/kWh;Centre, ARGENTON-SUR-CREUSE;30;0,058;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;36, Chateauroux, Centre Départemental Gériatrique de l'Indre CDGI;2021;Réseau de chaleur,Chateauroux,Centre Départemental Gériatrique de l'Indre CDGI;kgCO2e/kWh;Centre, Chateauroux;30;0,072;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;36, Chateauroux, Cité Saint Jean;2021;Réseau de chaleur,Cité Saint Jean,Chateauroux;kgCO2e/kWh;Centre, Chateauroux;30;0,281;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;36, CHATEAUROUX, Réseau de chaleur de la cité de Beaulieu;2021;Réseau de chaleur,Chateauroux,Réseau de chaleur de la cité de Beaulieu;kgCO2e/kWh;Centre, CHATEAUROUX;30;0,056;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;36, Issoudun, Réseau de chaleur d'Issoudun;2021;Réseau de chaleur,Réseau de chaleur d'Issoudun,Issoudun;kgCO2e/kWh;Centre, Issoudun;30;0,071;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;36, NEUVY-SAINT-SEPULCHRE, Réseau communal Neuvy Saint Sepulchre;2021;Réseau de chaleur,Réseau communal Neuvy Saint Sepulchre,NEUVY-SAINT-SEPULCHRE;kgCO2e/kWh;Centre, NEUVY-SAINT-SEPULCHRE;30;0,073;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;37, JOUE LES TOURS, CFA Joué Les Tours;2021;Réseau de chaleur,JOUE LES TOURS,CFA Joué Les Tours;kgCO2e/kWh;Centre, JOUE LES TOURS;30;0,118;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;37, Joue-Les-Tours, Morier et Rabière;2021;Réseau de chaleur,Morier et Rabière,Joue-Les-Tours;kgCO2e/kWh;Centre, Joue-Les-Tours;30;0,153;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;37, LA RICHE, Réseau de chauffage urbain de la Riche - Quartier;2021;Réseau de chaleur,LA RICHE,Réseau de chauffage urbain de la Riche - Quartier;kgCO2e/kWh;Centre, LA RICHE;30;0,261;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;37, SAINT-BENOIT-LA-FORET, Centre de Valorisation Energétique;2021;Réseau de chaleur,SAINT-BENOIT-LA-FORET,Centre de Valorisation Energétique;kgCO2e/kWh;Centre, SAINT-BENOIT-LA-FORET;30;4,00E-03;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;37, Saint-Pierre-des-Corps, Réseau de la ville de Saint Pierre des Corps;2021;Réseau de chaleur,Saint-Pierre-des-Corps,Réseau de la ville de Saint Pierre des Corps;kgCO2e/kWh;Centre, Saint-Pierre-des-Corps;30;0,083;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;37, Tours, Quartier Chateaubriand;2021;Réseau de chaleur,TOURS,Quartier Chateaubriand;kgCO2e/kWh;Centre, Tours;30;0,244;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;37, TOURS, Réseau DBT;2021;Réseau de chaleur,TOURS,Réseau DBT;kgCO2e/kWh;Centre, TOURS;30;0,019;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;37, TOURS, Résidence Febvotte 1 et 2;2021;Réseau de chaleur,TOURS,Résidence Febvotte 1 et 2;kgCO2e/kWh;Centre, TOURS;30;0,256;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;37, TOURS, Zup des Bords de Cher et Sanitas;2021;Réseau de chaleur,TOURS,Zup des Bords de Cher et Sanitas;kgCO2e/kWh;Centre, TOURS;30;0,088;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;38, ALLEVARD, Réseau d'Allevard;2021;Réseau de chaleur,ALLEVARD,Réseau d'Allevard;kgCO2e/kWh;Rhône-Alpes, ALLEVARD;30;0,125;Réseaux de chaleur / froid ; Rhône-Alpes ; 38. Isère;;
Réseau de chaleur;38, BOURGOIN-JALLIEU, Berjalia;2021;Réseau de chaleur,Berjalia,BOURGOIN-JALLIEU;kgCO2e/kWh;Rhône-Alpes, BOURGOIN-JALLIEU;30;0,052;Réseaux de chaleur / froid ; Rhône-Alpes ; 38. Isère;;
Réseau de chaleur;38, COUBLEVIE, Réseau de Coublevie;2021;Réseau de chaleur,Réseau de Coublevie,COUBLEVIE;kgCO2e/kWh;Rhône-Alpes, COUBLEVIE;30;0,036;Réseaux de chaleur / froid ; Rhône-Alpes ; 38. Isère;;
Réseau de chaleur;38, Fontaine, Réseau de chaleur de Fontaine ZAC Bastille;2021;Réseau de chaleur,Réseau de chaleur de Fontaine ZAC Bastille,Fontaine;kgCO2e/kWh;Rhône-Alpes, Fontaine;30;0,113;Réseaux de chaleur / froid ; Rhône-Alpes ; 38. Isère;;
Réseau de chaleur;38, Gières, Réseau de chaleur de Gières Centre;2021;Réseau de chaleur,Réseau de chaleur de Gières Centre,Gières;kgCO2e/kWh;Rhône-Alpes, Gières;30;0,077;Réseaux de chaleur / froid ; Rhône-Alpes ; 38. Isère;;
Réseau de chaleur;38, Grenoble, Réseau Métropole de Grenoble;2021;Réseau de chaleur,Grenoble,Réseau Métropole de Grenoble;kgCO2e/kWh;Rhône-Alpes, Grenoble;30;0,105;Réseaux de chaleur / froid ; Rhône-Alpes ; 38. Isère;;
Réseau de chaleur;38, LANS-EN-VERCORS, Réseau de Lans-en-Vercors;2021;Réseau de chaleur,LANS-EN-VERCORS,Réseau de Lans-en-Vercors;kgCO2e/kWh;Rhône-Alpes, LANS-EN-VERCORS;30;0,062;Réseaux de chaleur / froid ; Rhône-Alpes ; 38. Isère;;
Réseau de chaleur;38, MENS, Réseau de Mens;2021;Réseau de chaleur,MENS,Réseau de Mens;kgCO2e/kWh;Rhône-Alpes, MENS;30;0,12;Réseaux de chaleur / froid ; Rhône-Alpes ; 38. Isère;;
Réseau de chaleur;38, MONESTIER-DE-CLERMONT, Réseau de Monestier-de-Clermont;2021;Réseau de chaleur,MONESTIER-DE-CLERMONT,Réseau de Monestier-de-Clermont;kgCO2e/kWh;Rhône-Alpes, MONESTIER-DE-CLERMONT;30;0,049;Réseaux de chaleur / froid ; Rhône-Alpes ; 38. Isère;;
Réseau de chaleur;38, NOYAREY, Réseau chaufferie bois Vanne;2021;Réseau de chaleur,Réseau chaufferie bois Vanne,NOYAREY;kgCO2e/kWh;Rhône-Alpes, NOYAREY;30;0,052;Réseaux de chaleur / froid ; Rhône-Alpes ; 38. Isère;;
Réseau de chaleur;38, PONTCHARRA, Réseau de Chaleur Bois Pontcharra RCBP;2021;Réseau de chaleur,PONTCHARRA,Réseau de Chaleur Bois Pontcharra RCBP;kgCO2e/kWh;Rhône-Alpes, PONTCHARRA;30;0,15;Réseaux de chaleur / froid ; Rhône-Alpes ; 38. Isère;;
Réseau de chaleur;38, Saint-Marcellin, Réseau de Saint Marcellin;2021;Réseau de chaleur,Saint-Marcellin,Réseau de Saint Marcellin;kgCO2e/kWh;Rhône-Alpes, Saint-Marcellin;30;0,049;Réseaux de chaleur / froid ; Rhône-Alpes ; 38. Isère;;
Réseau de chaleur;38, VILLARD-DE-LANS, Les Laiches;2021;Réseau de chaleur,Les Laiches,VILLARD-DE-LANS;kgCO2e/kWh;Rhône-Alpes, VILLARD-DE-LANS;30;0,075;Réseaux de chaleur / froid ; Rhône-Alpes ; 38. Isère;;
Réseau de chaleur;38, VILLARD-DE-LANS, Réseau de villars de lans;2021;Réseau de chaleur,VILLARD-DE-LANS,Réseau de villars de lans;kgCO2e/kWh;Rhône-Alpes, VILLARD-DE-LANS;30;0,041;Réseaux de chaleur / froid ; Rhône-Alpes ; 38. Isère;;
Réseau de chaleur;38, VINAY, Réseau de chaleur de Vinay;2021;Réseau de chaleur,Réseau de chaleur de Vinay,VINAY;kgCO2e/kWh;Rhône-Alpes, VINAY;30;0,082;Réseaux de chaleur / froid ; Rhône-Alpes ; 38. Isère;;
Réseau de chaleur;38, VOREPPE, Réseau de chaleur de Voreppe;2021;Réseau de chaleur,Réseau de chaleur de Voreppe,VOREPPE;kgCO2e/kWh;Rhône-Alpes, VOREPPE;30;0,087;Réseaux de chaleur / froid ; Rhône-Alpes ; 38. Isère;;
Réseau de chaleur;39, ARINTHOD, Réseau CCPM Arinthod;2021;Réseau de chaleur,Réseau CCPM Arinthod,ARINTHOD;kgCO2e/kWh;Franche-Comté, ARINTHOD;30;0,142;Réseaux de chaleur / froid ; Franche-Comté;;;
Réseau de chaleur;39, AVIGNON-LES-SAINT-CLAUDE, CHAUFFERIE BOIS LES ORCHIDEES;2021;Réseau de chaleur,CHAUFFERIE BOIS LES ORCHIDEES,AVIGNON-LES-SAINT-CLAUDE;kgCO2e/kWh;Franche-Comté, AVIGNON-LES-SAINT-CLAUDE;30;0,142;Réseaux de chaleur / froid ; Franche-Comté;;;
Réseau de chaleur;39, Champvans, Réseau de Champvans;2021;Réseau de chaleur,Champvans,Réseau de Champvans;kgCO2e/kWh;Franche-Comté, Champvans;30;0,018;Réseaux de chaleur / froid ; Franche-Comté;;;
Réseau de chaleur;39, Dole, Réseau de Dole;2021;Réseau de chaleur,Dole,Réseau de Dole;kgCO2e/kWh;Franche-Comté, Dole;30;0,144;Réseaux de chaleur / froid ; Franche-Comté;;;
Réseau de chaleur;39, HAUTS DE BIENNE, Réseau de la Ville de Morez;2021;Réseau de chaleur,Réseau de la Ville de Morez,HAUTS DE BIENNE;kgCO2e/kWh;Franche-Comté, HAUTS DE BIENNE;30;0,032;Réseaux de chaleur / froid ; Franche-Comté;;;
Réseau de chaleur;39, Lons-le-Saunier, La Marjorie;2021;Réseau de chaleur,La Marjorie,Lons-le-Saunier;kgCO2e/kWh;Franche-Comté, Lons-le-Saunier;30;0,058;Réseaux de chaleur / froid ; Franche-Comté;;;
Réseau de chaleur;39, MOIRANS-EN-MONTAGNE, Réseau de chaleur de Moirans en Montagne;2021;Réseau de chaleur,Réseau de chaleur de Moirans en Montagne,MOIRANS-EN-MONTAGNE;kgCO2e/kWh;Franche-Comté, MOIRANS-EN-MONTAGNE;30;0,095;Réseaux de chaleur / froid ; Franche-Comté;;;
Réseau de chaleur;4, ALLOS, Réseau communal d'Allos;2021;Réseau de chaleur,ALLOS,Réseau communal d'Allos;kgCO2e/kWh;Provence-Alpes-Côte d'Azur, ALLOS;30;0,019;Réseaux de chaleur / froid ; Provence-Alpes-Côte d'Azur;;;
Réseau de chaleur;4, BARCELONNETTE, Réseau communal de Barcelonnette;2021;Réseau de chaleur,BARCELONNETTE,Réseau communal de Barcelonnette;kgCO2e/kWh;Provence-Alpes-Côte d'Azur, BARCELONNETTE;30;0,151;Réseaux de chaleur / froid ; Provence-Alpes-Côte d'Azur;;;
Réseau de chaleur;4, CASTELLANE, Réseau communal de Castellane;2021;Réseau de chaleur,Réseau communal de Castellane,CASTELLANE;kgCO2e/kWh;Provence-Alpes-Côte d'Azur, CASTELLANE;30;0,02;Réseaux de chaleur / froid ; Provence-Alpes-Côte d'Azur;;;
Réseau de chaleur;4, FORCALQUIER, Réseau de la chaufferie La Tomie;2021;Réseau de chaleur,FORCALQUIER,Réseau de la chaufferie La Tomie;kgCO2e/kWh;Provence-Alpes-Côte d'Azur, FORCALQUIER;30;0,226;Réseaux de chaleur / froid ; Provence-Alpes-Côte d'Azur;;;
Réseau de chaleur;4, Manosque, RCU Manosque Zac Chanteprunier;2021;Réseau de chaleur,Manosque,RCU Manosque Zac Chanteprunier;kgCO2e/kWh;Provence-Alpes-Côte d'Azur, Manosque;30;0,092;Réseaux de chaleur / froid ; Provence-Alpes-Côte d'Azur;;;
Réseau de chaleur;40, DAX, écoquartier Mousse;2021;Réseau de chaleur,écoquartier Mousse,DAX;kgCO2e/kWh;Aquitaine, DAX;30;0,107;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;40, MONT-DE-MARSAN, Géothermie Mont-de-Marsan GMM1;2021;Réseau de chaleur,MONT-DE-MARSAN,Géothermie Mont-de-Marsan GMM1;kgCO2e/kWh;Aquitaine, MONT-DE-MARSAN;30;0,016;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;40, MONT-DE-MARSAN, Géothermie Mont-de-Marsan GMM2;2021;Réseau de chaleur,MONT-DE-MARSAN,Géothermie Mont-de-Marsan GMM2;kgCO2e/kWh;Aquitaine, MONT-DE-MARSAN;30;0,014;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;40, MONT-DE-MARSAN, Réseau de chaleur Peyrouat;2021;Réseau de chaleur,MONT-DE-MARSAN,Réseau de chaleur Peyrouat;kgCO2e/kWh;Aquitaine, MONT-DE-MARSAN;30;0,164;Réseaux de chaleur / froid ; Aquitaine;;;
Réseau de chaleur;41, Blois, ECO CHALEUR DE BLOIS;2021;Réseau de chaleur,Blois,ECO CHALEUR DE BLOIS;kgCO2e/kWh;Centre, Blois;30;0,02;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;41, Blois, Quartier Bégon et Chevalier;2021;Réseau de chaleur,Blois,Quartier Bégon et Chevalier;kgCO2e/kWh;Centre, Blois;30;0,026;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;41, MONDOUBLEAU, Réseau de Mondoubleau;2021;Réseau de chaleur,MONDOUBLEAU,Réseau de Mondoubleau;kgCO2e/kWh;Centre, MONDOUBLEAU;30;0,014;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;41, NEUNG-SUR-BEUVRON, Réseau Neung sur Beuvron;2021;Réseau de chaleur,Réseau Neung sur Beuvron,NEUNG-SUR-BEUVRON;kgCO2e/kWh;Centre, NEUNG-SUR-BEUVRON;30;0,025;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;41, VILLENY, ALAIN BLANCHE;2021;Réseau de chaleur,ALAIN BLANCHE,VILLENY;kgCO2e/kWh;Centre, VILLENY;30;0,14;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;41, VINEUIL, Zac des Paradis;2021;Réseau de chaleur,VINEUIL,Zac des Paradis;kgCO2e/kWh;Centre, VINEUIL;30;0,248;Réseaux de chaleur / froid ; Centre;;;
Réseau de chaleur;42, Andrezieux-Boutheon, Andrézieux-Bouthéon;2021;Réseau de chaleur,Andrézieux-Bouthéon;kgCO2e/kWh;Rhône-Alpes, Andrezieux-Boutheon;30;0,109;Réseaux de chaleur / froid ; Rhône-Alpes ; 42. Loire;;
Réseau de chaleur;42, COLOMBIER, Colombier;2021;Réseau de chaleur,Colombier;kgCO2e/kWh;Rhône-Alpes, COLOMBIER;30;0,11;Réseaux de chaleur / froid ; Rhône-Alpes ; 42. Loire;;
Réseau de chaleur;42, FARNAY, Farnay;2021;Réseau de chaleur,Farnay;kgCO2e/kWh;Rhône-Alpes, FARNAY;30;0,11;Réseaux de chaleur / froid ; Rhône-Alpes ; 42. Loire;;
Réseau de chaleur;42, Firminy, Réseau de Firminy;2021;Réseau de chaleur,Firminy,Réseau de Firminy;kgCO2e/kWh;Rhône-Alpes, Firminy;30;0,141;Réseaux de chaleur / froid ; Rhône-Alpes ; 42. Loire;;
Réseau de chaleur;42, JONZIEUX, Jonzieux;2021;Réseau de chaleur,Jonzieux;kgCO2e/kWh;Rhône-Alpes, JONZIEUX;30;0,067;Réseaux de chaleur / froid ; Rhône-Alpes ; 42. Loire;;
Réseau de chaleur;42, LA TERRASSE-SUR-DORLAY, La Terrasse sur Dorlay;2021;Réseau de chaleur,LA TERRASSE-SUR-DORLAY,La Terrasse sur Dorlay;kgCO2e/kWh;Rhône-Alpes, LA TERRASSE-SUR-DORLAY;30;0,019;Réseaux de chaleur / froid ; Rhône-Alpes ; 42. Loire;;
Réseau de chaleur;42, LA TUILIERE, La Tuilière;2021;Réseau de chaleur,La Tuilière;kgCO2e/kWh;Rhône-Alpes, LA TUILIERE;30;0,051;Réseaux de chaleur / froid ; Rhône-Alpes ; 42. Loire;;
Réseau de chaleur;42, La Valla en Gier, Réseau de La Valla en Gier;2021;Réseau de chaleur,Réseau de La Valla en Gier,La Valla en Gier;kgCO2e/kWh;Rhône-Alpes, La Valla en Gier;30;0,022;Réseaux de chaleur / froid ; Rhône-Alpes ; 42. Loire;;
Réseau de chaleur;42, LE BESSAT, Le Bessat 1 - Ecole;2021;Réseau de chaleur,LE BESSAT,Le Bessat 1 - Ecole;kgCO2e/kWh;Rhône-Alpes, LE BESSAT;30;0,026;Réseaux de chaleur / froid ; Rhône-Alpes ; 42. Loire;;
Réseau de chaleur;42, LURIECQ, LOIRE FOREZ AGGLOMERATION Rezo;2021;Réseau de chaleur,LOIRE FOREZ AGGLOMERATION Rezo,LURIECQ;kgCO2e/kWh;Rhône-Alpes, LURIECQ;30;0,021;Réseaux de chaleur / froid ; Rhône-Alpes ; 42. Loire;;
Réseau de chaleur;42, MARLHES, Marlhes - Interconnexion;2021;Réseau de chaleur,MARLHES,Marlhes - Interconnexion;kgCO2e/kWh;Rhône-Alpes, MARLHES;30;0,093;Réseaux de chaleur / froid ; Rhône-Alpes ; 42. Loire;;
Réseau de chaleur;42, Montrond-les-Bains, Montrond-les-Bains;2021;Réseau de chaleur,Montrond-les-Bains;kgCO2e/kWh;Rhône-Alpes, Montrond-les-Bains;30;0,09;Réseaux de chaleur / froid ; Rhône-Alpes ; 42. Loire;;
Réseau de chaleur;42, NEULISE, Neulise;2021;Réseau de chaleur,Neulise;kgCO2e/kWh;Rhône-Alpes, NEULISE;30;0,067;Réseaux de chaleur / froid ; Rhône-Alpes ; 42. Loire;;
