Structure;Poste;Nom base français;Spécificité 1;Spécificité 2;Tags français;Unité français;Localisation géographique;Incertitude;Total poste non décomposé;Code de la catégorie;Sous catégorie 1;Sous catégorie 2;Sous catégorie 3;Sous catégorie 4
élément décomposé par poste;Postes 13 et 23;Cyclomoteur;Mixte;2018;Mixte,cyclomoteur;kgCO2e/km;France continentale;60;0,0763;Transport de personnes ; Routier ; Deux roues;;
élément décomposé par poste;Postes 13 et 23;Cyclomoteur;Rural;2018;cyclomoteur,Rural;kgCO2e/km;France continentale;60;0,0763;Transport de personnes ; Routier ; Deux roues;;
élément décomposé par poste;Postes 13 et 23;Cyclomoteur;Urbain;2018;cyclomoteur,Urbain;kgCO2e/km;France continentale;60;0,0763;Transport de personnes ; Routier ; Deux roues;;
élément non décomposé;Poste 11;DAS;/;Incinération - Impacts;Incinération,DAS,Déchet,Dangereux;kgCO2e/tonne de déchets;France continentale;50;943;Traitement des déchets ; Activités Economiques ; Déchets Dangereux;;
élément non décomposé;Poste 11;DEA Bois;/;Fin de vie moyenne filière - Impacts;Ameublement,DEA,bois,Déchet,Fin de vie moyenne;kgCO2e/tonne de déchets;France continentale;20;437;Traitement des déchets ; Ménages et assimilés ; DEA;;
élément non décomposé;Poste 11;DEA Literie;/;Fin de vie moyenne filière - Impacts;Literie,Déchet,Fin de vie moyenne,Ameublement,DEA;kgCO2e/tonne de déchets;France continentale;50;661;Traitement des déchets ; Ménages et assimilés ; DEA;;
élément non décomposé;Poste 11;DEA Moyen;/;Fin de vie moyenne filière - Impacts;Déchet,Fin de vie moyenne,Ameublement,DEA;kgCO2e/tonne de déchets;France continentale;20;531;Traitement des déchets ; Ménages et assimilés ; DEA;;
élément non décomposé;Poste 11;DEA Rembourrés;/;Fin de vie moyenne filière - Impacts;Rembourré,Déchet,Fin de vie moyenne,Ameublement,DEA;kgCO2e/tonne de déchets;France continentale;100;780;Traitement des déchets ; Ménages et assimilés ; DEA;;
élément non décomposé;Poste 11;Déchets de cuisine;/;Méthanisation - Impacts;Cuisine,Méthanisation,Déchet,Organique;kgCO2e/tonne de déchets;France continentale;100;173;Traitement des déchets ; Ménages et assimilés ; Déchets Organiques;;
élément non décomposé;Poste 11;Déchets de cuisine et déchets verts;/;Compostage domestique en bac - Impacts;Vert,Compostage,Cuisine,Déchet,Organique;kgCO2e/tonne de déchets;France continentale;100;9;Traitement des déchets ; Ménages et assimilés ; Déchets Organiques;;
élément non décomposé;Poste 11;Déchets de cuisine et déchets verts;/;Compostage domestique en tas - Impacts;Vert,Compostage,Cuisine,Déchet,Organique;kgCO2e/tonne de déchets;France continentale;100;28;Traitement des déchets ; Ménages et assimilés ; Déchets Organiques;;
élément non décomposé;Poste 11;Déchets de cuisine et déchets verts;/;Compostage industriel - Impacts;Vert,Compostage,Cuisine,Déchet,Organique;kgCO2e/tonne de déchets;France continentale;50;140;Traitement des déchets ; Ménages et assimilés ; Déchets Organiques;;
élément non décomposé;Poste 11;Déchets du bâtiment;Aluminium;Fin de vie moyenne - Impacts;Fin de vie moyenne,Métaux,Aluminium,Bâtiment,Déchet;kgCO2e/tonne de déchets;France continentale;20;562;Traitement des déchets ; Activités Economiques ; Déchets du bâtiment ; Métaux;
élément non décomposé;Poste 11;Déchets du bâtiment;Béton, briques, tuiles et céramiques;Fin de vie hors recyclage - Impacts;Bâtiment,Déchet,Inerte,Recyclage;kgCO2e/tonne de déchets;France continentale;;11;Traitement des déchets ; Activités Economiques ; Déchets du bâtiment ; Autres;
élément non décomposé;Poste 11;Déchets du bâtiment;Béton, briques, tuiles et céramiques;Fin de vie moyenne - Impacts;Bâtiment,Déchet,Inerte,Fin de vie moyenne;kgCO2e/tonne de déchets;France continentale;19;26;Traitement des déchets ; Activités Economiques ; Déchets du bâtiment ; Autres;
élément non décomposé;Poste 11;Déchets du bâtiment;Bois de classe B;Fin de vie hors recyclage - Impacts;bois,Bâtiment,Déchet,Recyclage;kgCO2e/tonne de déchets;France continentale;;23;Traitement des déchets ; Activités Economiques ; Déchets du bâtiment ; Autres;
élément non décomposé;Poste 11;Déchets du bâtiment;Bois de classe B;Fin de vie moyenne - Impacts;bois,Bâtiment,Déchet,Fin de vie moyenne;kgCO2e/tonne de déchets;France continentale;20;122;Traitement des déchets ; Activités Economiques ; Déchets du bâtiment ; Autres;
élément non décomposé;Poste 11;Déchets du bâtiment;Cuivre;Fin de vie moyenne - Impacts;Fin de vie moyenne,Métaux,Cuivre,Bâtiment,Déchet;kgCO2e/tonne de déchets;France continentale;20;1304;Traitement des déchets ; Activités Economiques ; Déchets du bâtiment ; Métaux;
élément non décomposé;Poste 11;Déchets du bâtiment;Déchets inertes en mélange :Gravats;Fin de vie hors recyclage - Impacts;Bâtiment,Déchet,Inerte,Recyclage;kgCO2e/tonne de déchets;France continentale;;9;Traitement des déchets ; Activités Economiques ; Déchets du bâtiment ; Autres;
élément non décomposé;Poste 11;Déchets du bâtiment;Déchets inertes en mélange :Gravats;Fin de vie moyenne - Impacts;Bâtiment,Déchet,Inerte,Fin de vie moyenne;kgCO2e/tonne de déchets;France continentale;26;13;Traitement des déchets ; Activités Economiques ; Déchets du bâtiment ; Autres;
élément non décomposé;Poste 11;Déchets du bâtiment;Déchets non dangereux en mélange :DIB;Fin de vie hors recyclage - Impacts;Bâtiment,Déchet,Recyclage,DIB;kgCO2e/tonne de déchets;France continentale;;23;Traitement des déchets ; Activités Economiques ; Déchets du bâtiment ; Autres;
élément non décomposé;Poste 11;Déchets du bâtiment;Déchets non dangereux en mélange :DIB;Fin de vie moyenne - Impacts;Bâtiment,Déchet,Fin de vie moyenne,DIB;kgCO2e/tonne de déchets;France continentale;30;87;Traitement des déchets ; Activités Economiques ; Déchets du bâtiment ; Autres;
élément non décomposé;Poste 11;Déchets du bâtiment;Métaux;Fin de vie hors recyclage - Impacts;Métaux,Bâtiment,Déchet,Recyclage;kgCO2e/tonne de déchets;France continentale;20;8;Traitement des déchets ; Activités Economiques ; Déchets du bâtiment ; Métaux;
élément non décomposé;Poste 11;Déchets du bâtiment;Métaux ferreux;Fin de vie moyenne - Impacts;Fin de vie moyenne,Métaux,Acier,Bâtiment,Déchet;kgCO2e/tonne de déchets;France continentale;20;938;Traitement des déchets ; Activités Economiques ; Déchets du bâtiment ; Métaux;
élément non décomposé;Poste 11;Déchets du bâtiment;Plâtre et autres contenant du gypse;Fin de vie hors recyclage - Impacts;Plâtre,Bâtiment,Déchet,Recyclage;kgCO2e/tonne de déchets;France continentale;;65;Traitement des déchets ; Activités Economiques ; Déchets du bâtiment ; Autres;
élément non décomposé;Poste 11;Déchets du bâtiment;Plâtre et autres contenant du gypse;Fin de vie moyenne - Impacts;Plâtre,Bâtiment,Déchet,Fin de vie moyenne;kgCO2e/tonne de déchets;France continentale;12;52;Traitement des déchets ; Activités Economiques ; Déchets du bâtiment ; Autres;
élément non décomposé;Poste 11;Déchets putrescibles;Déchets putrescibles;Incinération - Impacts;Incinération,Déchet,Organique,Putrescible;kgCO2e/tonne de déchets;France continentale;50;45;Traitement des déchets ; Ménages et assimilés ; Déchets Organiques;;
élément non décomposé;Poste 11;Déchets putrescibles;Déchets putrescibles;Stockage - Impacts;Déchet,Stockage,Organique,Putrescible;kgCO2e/tonne de déchets;France continentale;50;692;Traitement des déchets ; Ménages et assimilés ; Déchets Organiques;;
élément non décomposé;Poste 11;Déchets verts;Déchets verts;Compostage domestique en tas - Impacts;Compostage,Déchet,Organique,Vert;kgCO2e/tonne de déchets;France continentale;100;20;Traitement des déchets ; Ménages et assimilés ; Déchets Organiques;;
élément décomposé par poste;Poste 10;Décodeur;;;informatique,numérique,réseau,Décodeur;kgCO2e/unité;France continentale;50;60,9;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément non décomposé;Poste 11;DEEE;DEEE moyen :par défaut;Fin de vie moyenne filière - Impacts;Déchet,Fin de vie moyenne,Equipement Electrique et Electronique,DEEE;kgCO2e/tonne de déchets;France continentale;100;1995;Traitement des déchets ; Ménages et assimilés ; DEEE ; Déchets d'Equipements Electriques et Electroniques;
élément non décomposé;Poste 11;DEEE;Ecrans CRT;Fin de vie moyenne filière - Impacts;DEEE,ECRAN,Déchet,Fin de vie moyenne,Equipement Electrique et Electronique;kgCO2e/tonne de déchets;France continentale;10;451;Traitement des déchets ; Ménages et assimilés ; DEEE ; Ecrans Cathode Ray Tube;
élément non décomposé;Poste 11;DEEE;Ecrans Plats;Fin de vie moyenne filière - Impacts;DEEE,ECRAN,Déchet,Fin de vie moyenne,Equipement Electrique et Electronique;kgCO2e/tonne de déchets;France continentale;10;907;Traitement des déchets ; Ménages et assimilés ; DEEE ; Ecrans Plats;
élément non décomposé;Poste 11;DEEE;GEMF en fin de vie;Fin de vie moyenne filière, dont pertes amont - Impacts;Déchet,Fin de vie moyenne,Equipement Electrique et Electronique,DEEE,GEMF;kgCO2e/tonne de déchets;France continentale;10;5064;Traitement des déchets ; Ménages et assimilés ; DEEE ; Gros Electroménager Froid;
élément non décomposé;Poste 11;DEEE;GEMF en fin de vie;Fin de vie moyenne filière, sans pertes amont - Impacts;Déchet,Fin de vie moyenne,Equipement Electrique et Electronique,DEEE,GEMF;kgCO2e/tonne de déchets;France continentale;10;1852;Traitement des déchets ; Ménages et assimilés ; DEEE ; Gros Electroménager Froid;
élément non décomposé;Poste 11;DEEE;GEMF mis sur le marché;Fin de vie moyenne filière, dont pertes amont - Impacts;Déchet,Fin de vie moyenne,Equipement Electrique et Electronique,DEEE,GEMF;kgCO2e/tonne de déchets;France continentale;10;934;Traitement des déchets ; Ménages et assimilés ; DEEE ; Gros Electroménager Froid;
élément non décomposé;Poste 11;DEEE;GEMHF;Fin de vie moyenne filière - Impacts;GEMHF,Déchet,Fin de vie moyenne,Equipement Electrique et Electronique,DEEE;kgCO2e/tonne de déchets;France continentale;10;623;Traitement des déchets ; Ménages et assimilés ; DEEE ; Gros Electroménager Hors Froid;
élément non décomposé;Poste 11;DEEE;PAM;Fin de vie moyenne filière - Impacts;PAM,Déchet,Fin de vie moyenne,Equipement Electrique et Electronique,DEEE;kgCO2e/tonne de déchets;France continentale;10;802;Traitement des déchets ; Ménages et assimilés ; DEEE ; Petits Appareils en Mélange;
élément non décomposé;Poste 11;DEEE;T&L;Fin de vie moyenne filière - Impacts;Lampe,Déchet,Fin de vie moyenne,Equipement Electrique et Electronique,DEEE;kgCO2e/tonne de déchets;France continentale;10;749;Traitement des déchets ; Ménages et assimilés ; DEEE ; Tubes et lampes;
élément décomposé par gaz;Poste 9;Diammonium phosphate;/;18% N + 46% P2O5;engrais,fertilisant,Diammonium phosphate;kgCO2e/tonne de P2O5;Europe;30;2806;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément non décomposé;Poste 9;Dioxyde de carbone d'origine chimique;/;/;viticulture;kgCO2e/tonne;France continentale;100;818;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Produits chimiques spécifiques à la viticulture
élément non décomposé;Poste 9;dioxyde de soufre liquide;/;/;viticulture,dioxyde de soufre;kgCO2e/tonne;France continentale;100;440;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Produits chimiques spécifiques à la viticulture
élément non décomposé;Poste 11;DIS;DIS;Incinération - Impacts;Incinération,DIS,Déchet,Dangereux;kgCO2e/tonne de déchets;France continentale;20;844;Traitement des déchets ; Activités Economiques ; Déchets Dangereux;;
élément non décomposé;Poste 11;DIS;DIS;Stockage - Impacts;DIS,Déchet,Stockage,Dangereux;kgCO2e/tonne de déchets;France continentale;50;128;Traitement des déchets ; Activités Economiques ; Déchets Dangereux;;
élément décomposé par poste;Poste 10;DSL;haut débit;;informatique,numérique,DSL,haut débit,réseau;kgCO2e/unité;France continentale;50;61,3;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 9;Eau de reseau;/;Hors infrastructure;Eau,eau potable,eau de reseau;kgCO2e/m³;France continentale;11;0,132;Achats de biens ; Eau,  traitement et distribution d'eau;;;
élément décomposé par poste;Poste 10;Ecran;21,5 pouces;;ECRAN,informatique,bureautique;kgCO2e/unité;France continentale;50;222;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 10;Ecran;23,8 pouces;;ECRAN,informatique,bureautique;kgCO2e/unité;France continentale;50;248;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste et par gaz;Poste 10;Ecran publicitaire;2m² :sans casing;;equipement,Ecran publicitaire;kgCO2e/unité;France continentale;50;1083;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste et par gaz;Poste 10;Ecran publicitaire;2m²;;equipement,Ecran publicitaire;kgCO2e/unité;France continentale;50;1322;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément non décomposé;Poste 11;Emballages;Acier;Incinération - Impacts;Métaux,Acier,Incinération,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;135;Traitement des déchets ; Ménages et assimilés ; Emballages ; Métaux;
élément non décomposé;Poste 11;Emballages;Acier;Stockage - Impacts;Stockage,Métaux,Acier,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;41;Traitement des déchets ; Ménages et assimilés ; Emballages ; Métaux;
élément non décomposé;Poste 11;Emballages;Aluminium;Fin de vie moyenne filière - Impacts;Fin de vie moyenne,Métaux,Aluminium,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;311;Traitement des déchets ; Ménages et assimilés ; Emballages ; Métaux;
élément non décomposé;Poste 11;Emballages;Aluminium;Incinération - Impacts;Métaux,Aluminium,Incinération,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;110;Traitement des déchets ; Ménages et assimilés ; Emballages ; Métaux;
élément non décomposé;Poste 11;Emballages;Aluminium;Recyclage - Impacts;Métaux,Aluminium,Déchet,Recyclage,Emballage;kgCO2e/tonne de déchets;France continentale;20;873;Traitement des déchets ; Ménages et assimilés ; Emballages ; Métaux;
élément non décomposé;Poste 11;Emballages;Aluminium;Stockage - Impacts;Stockage,Métaux,Aluminium,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;41;Traitement des déchets ; Ménages et assimilés ; Emballages ; Métaux;
élément non décomposé;Poste 11;Emballages;Autres plastiques et plastiques complexes;Fin de vie moyenne filière - Impacts;Plastique,Déchet,Emballage,Fin de vie moyenne;kgCO2e/tonne de déchets;France continentale;20;1844;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques autres résines ou plastiques complexes;
élément non décomposé;Poste 11;Emballages;Autres plastiques et plastiques complexes;Incinération - Impacts;Plastique,Incinération,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;2655;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques autres résines ou plastiques complexes;
élément non décomposé;Poste 11;Emballages;Autres plastiques et plastiques complexes;Stockage - Impacts;Plastique,Déchet,Emballage,Stockage;kgCO2e/tonne de déchets;France continentale;20;41;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques autres résines ou plastiques complexes;
élément non décomposé;Poste 11;Emballages;Bois;Fin de vie moyenne filière - Impacts;bois,Déchet,Emballage,Fin de vie moyenne;kgCO2e/tonne de déchets;France continentale;20;269;Traitement des déchets ; Ménages et assimilés ; Emballages ; Bois;
élément non décomposé;Poste 11;Emballages;Bois;Incinération - Impacts;bois,Incinération,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;69;Traitement des déchets ; Ménages et assimilés ; Emballages ; Bois;
élément non décomposé;Poste 11;Emballages;Bois;Stockage - Impacts;bois,Déchet,Emballage,Stockage;kgCO2e/tonne de déchets;France continentale;20;714;Traitement des déchets ; Ménages et assimilés ; Emballages ; Bois;
élément non décomposé;Poste 11;Emballages;Carton;Fin de vie moyenne filière - Impacts;Carton,Déchet,Emballage,Fin de vie moyenne;kgCO2e/tonne de déchets;France continentale;20;737;Traitement des déchets ; Ménages et assimilés ; Emballages ; Carton;
élément non décomposé;Poste 11;Emballages;Carton;Incinération - Impacts;Carton,Incinération,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;120;Traitement des déchets ; Ménages et assimilés ; Emballages ; Carton;
élément non décomposé;Poste 11;Emballages;Carton;Recyclage - Impacts;Carton,Déchet,Recyclage,Emballage;kgCO2e/tonne de déchets;France continentale;20;992;Traitement des déchets ; Ménages et assimilés ; Emballages ; Carton;
élément non décomposé;Poste 11;Emballages;Carton;Stockage - Impacts;Carton,Déchet,Emballage,Stockage;kgCO2e/tonne de déchets;France continentale;20;950;Traitement des déchets ; Ménages et assimilés ; Emballages ; Carton;
élément non décomposé;Poste 11;Emballages;Céramiques et autres inertes;Fin de vie moyenne filière - Impacts;Déchet,Inerte,Emballage,Fin de vie moyenne;kgCO2e/tonne de déchets;France continentale;20;102;Traitement des déchets ; Ménages et assimilés ; Emballages ; Autres Materiaux;
élément non décomposé;Poste 11;Emballages;Céramiques et autres inertes;Incinération - Impacts;Incinération,Déchet,Inerte,Emballage;kgCO2e/tonne de déchets;France continentale;20;130;Traitement des déchets ; Ménages et assimilés ; Emballages ; Autres Materiaux;
élément non décomposé;Poste 11;Emballages;Céramiques et autres inertes;Stockage - Impacts;Déchet,Inerte,Emballage,Stockage;kgCO2e/tonne de déchets;France continentale;20;41;Traitement des déchets ; Ménages et assimilés ; Emballages ; Autres Materiaux;
élément non décomposé;Poste 11;Emballages;Plastique biosourcé PE;Incinération - Impacts;PE,Plastique,Incinération,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;122;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PE;
élément non décomposé;Poste 11;Emballages;Plastique biosourcé PE;Stockage - Impacts;PE,Plastique,Déchet,Emballage,Stockage;kgCO2e/tonne de déchets;France continentale;50;41;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PE;
élément non décomposé;Poste 11;Emballages;Plastique biosourcé PET;Incinération - Impacts;Emballage,Plastique,PET,Incinération,Déchet;kgCO2e/tonne de déchets;France continentale;20;160;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PET;
élément non décomposé;Poste 11;Emballages;Plastique biosourcé PET;Stockage - Impacts;Stockage,Plastique,PET,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;50;41;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PET;
élément non décomposé;Poste 11;Emballages;Plastique biosourcé PP;Incinération - Impacts;Plastique,PP,Incinération,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;122;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PP;
élément non décomposé;Poste 11;Emballages;Plastique biosourcé PP;Stockage - Impacts;Stockage,Plastique,PP,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;50;41;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PP;
élément non décomposé;Poste 11;Emballages;Plastique pétrosourcé PE;Incinération - Impacts;PE,Plastique,Incinération,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;2769;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PE;
élément non décomposé;Poste 11;Emballages;Plastique pétrosourcé PE;Stockage - Impacts;PE,Plastique,Déchet,Emballage,Stockage;kgCO2e/tonne de déchets;France continentale;20;41;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PE;
élément non décomposé;Poste 11;Emballages;Plastique pétrosourcé PET;Incinération - Impacts;Emballage,Plastique,PET,Incinération,Déchet;kgCO2e/tonne de déchets;France continentale;20;2139;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PET;
élément non décomposé;Poste 11;Emballages;Plastique pétrosourcé PET;Stockage - Impacts;Stockage,Plastique,PET,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;41;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PET;
élément non décomposé;Poste 11;Emballages;Plastique pétrosourcé PP;Incinération - Impacts;Plastique,PP,Incinération,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;2769;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PP;
élément non décomposé;Poste 11;Emballages;Plastique pétrosourcé PP;Stockage - Impacts;Stockage,Plastique,PP,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;41;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PP;
élément non décomposé;Poste 11;Emballages;Plastique rigide biosourcé PE autres emballages;Fin de vie moyenne filière - Impacts;PE,Plastique,Déchet,Emballage,Fin de vie moyenne;kgCO2e/tonne de déchets;France continentale;50;101;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PE;
élément non décomposé;Poste 11;Emballages;Plastique rigide biosourcé PE bouteilles;Fin de vie moyenne filière - Impacts;PE,Plastique,Déchet,Emballage,Fin de vie moyenne;kgCO2e/tonne de déchets;France continentale;50;258;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PE;
élément non décomposé;Poste 11;Emballages;Plastique rigide biosourcé PET autres emballages;Fin de vie moyenne filière - Impacts;Fin de vie moyenne,Plastique,PET,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;50;130;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PET;
élément non décomposé;Poste 11;Emballages;Plastique rigide biosourcé PET bouteilles;Fin de vie moyenne filière - Impacts;Fin de vie moyenne,Plastique,PET,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;50;395;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PET;
élément non décomposé;Poste 11;Emballages;Plastique rigide biosourcé PP autres emballages;Fin de vie moyenne filière - Impacts;Fin de vie moyenne,Plastique,PP,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;50;101;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PP;
élément non décomposé;Poste 11;Emballages;Plastique rigide biosourcé PP bouteilles;Fin de vie moyenne filière - Impacts;Fin de vie moyenne,Plastique,PP,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;50;258;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PP;
élément non décomposé;Poste 11;Emballages;Plastique rigide PE autres emballages;Recyclage - Impacts;PE,Plastique,Déchet,Recyclage,Emballage;kgCO2e/tonne de déchets;France continentale;20;434;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PE;
élément non décomposé;Poste 11;Emballages;Plastique rigide PE bouteilles;Recyclage - Impacts;PE,Plastique,Déchet,Recyclage,Emballage;kgCO2e/tonne de déchets;France continentale;20;434;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PE;
élément non décomposé;Poste 11;Emballages;Plastique rigide PET autres emballages;Recyclage - Impacts;Emballage,Plastique,PET,Déchet,Recyclage;kgCO2e/tonne de déchets;France continentale;20;662;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PET;
élément non décomposé;Poste 11;Emballages;Plastique rigide PET bouteilles;Recyclage - Impacts;Emballage,Plastique,PET,Déchet,Recyclage;kgCO2e/tonne de déchets;France continentale;20;662;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PET;
élément non décomposé;Poste 11;Emballages;Plastique rigide pétrosourcé PE autres emballages;Fin de vie moyenne filière - Impacts;PE,Plastique,Déchet,Emballage,Fin de vie moyenne;kgCO2e/tonne de déchets;France continentale;20;1906;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PE;
élément non décomposé;Poste 11;Emballages;Plastique rigide pétrosourcé PE bouteilles;Fin de vie moyenne filière - Impacts;PE,Plastique,Déchet,Emballage,Fin de vie moyenne;kgCO2e/tonne de déchets;France continentale;20;1210;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PE;
élément non décomposé;Poste 11;Emballages;Plastique rigide pétrosourcé PET autres emballages;Fin de vie moyenne filière - Impacts;Fin de vie moyenne,Plastique,PET,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;1479;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PET;
élément non décomposé;Poste 11;Emballages;Plastique rigide pétrosourcé PET bouteilles;Fin de vie moyenne filière - Impacts;Fin de vie moyenne,Plastique,PET,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;1106;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PET;
élément non décomposé;Poste 11;Emballages;Plastique rigide pétrosourcé PP autres emballages;Fin de vie moyenne filière - Impacts;Fin de vie moyenne,Plastique,PP,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;1906;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PP;
élément non décomposé;Poste 11;Emballages;Plastique rigide pétrosourcé PP bouteilles;Fin de vie moyenne filière - Impacts;Fin de vie moyenne,Plastique,PP,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;1210;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PP;
élément non décomposé;Poste 11;Emballages;Plastique rigide PP autres emballages;Recyclage - Impacts;Plastique,PP,Déchet,Recyclage,Emballage;kgCO2e/tonne de déchets;France continentale;20;434;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PP;
élément non décomposé;Poste 11;Emballages;Plastique rigide PP bouteilles;Recyclage - Impacts;Plastique,PP,Déchet,Recyclage,Emballage;kgCO2e/tonne de déchets;France continentale;20;434;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PP;
élément non décomposé;Poste 11;Emballages;Plastique rigide PS-PSE;Fin de vie moyenne filière - Impacts;Fin de vie moyenne,Plastique,PS,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;2060;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PS-PSE;
élément non décomposé;Poste 11;Emballages;Plastique rigide PS-PSE;Incinération - Impacts;Emballage,Plastique,PS,Incinération,Déchet;kgCO2e/tonne de déchets;France continentale;20;2967;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PS-PSE;
élément non décomposé;Poste 11;Emballages;Plastique rigide PS-PSE;Stockage - Impacts;Stockage,Plastique,PS,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;41;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PS-PSE;
élément non décomposé;Poste 11;Emballages;Plastique rigide PVC;Fin de vie moyenne filière - Impacts;Fin de vie moyenne,Plastique,PVC,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;3196;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PVC;
élément non décomposé;Poste 11;Emballages;Plastique rigide PVC;Incinération - Impacts;Emballage,Plastique,PVC,Incinération,Déchet;kgCO2e/tonne de déchets;France continentale;20;4613;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PVC;
élément non décomposé;Poste 11;Emballages;Plastique rigide PVC;Stockage - Impacts;Stockage,Plastique,PVC,Déchet,Emballage;kgCO2e/tonne de déchets;France continentale;20;41;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PVC;
élément non décomposé;Poste 11;Emballages;Plastique souple PE;Recyclage - Impacts;PE,Plastique,Déchet,Recyclage,Emballage;kgCO2e/tonne de déchets;France continentale;20;530;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PE;
élément non décomposé;Poste 11;Emballages;Plastique souple PE biosourcé;Fin de vie moyenne filière - Impacts;PE,Plastique,Déchet,Emballage,Fin de vie moyenne;kgCO2e/tonne de déchets;France continentale;50;102;Traitement des déchets ; Ménages et assimilés ; Emballages ; Plastiques PE;
